,estado,estadoSigla,municipio,cnes,nomeCnes,dataNotificacaoOcupacao,ofertaRespiradores,ofertaHospCli,ofertaHospUti,ofertaSRAGCli,ofertaSRAGUti,ocupHospCli,ocupHospUti,ocupSRAGCli,ocupSRAGUti,altas,obitos,ocupacaoInformada,algumaOcupacaoInformada
2972,Alagoas,AL,Maceió,2006960,HOSPITAL VIDA,2021-01-03,12.0,59.0,5.0,0.0,5.0,8.0,8.0,1.0,3,0.0,0,True,True
1331,Alagoas,AL,Maceió,9226702,HUMANITE COMPLEXO MEDICO HOSPITALAR LTDA,2020-07-21,0.0,46.0,0.0,20.0,0.0,20.0,0.0,1.0,0,0.0,0,True,True
225,Alagoas,AL,Maceió,2007037,SANTA CASA DE MISERICORDIA DE MACEIO,2020-09-20,39.0,290.0,27.0,30.0,25.0,82.0,19.0,5.0,6,0.0,0,True,True
2703,Alagoas,AL,Marechal Deodoro,0193496,HOSPITAL DE CAMPANHA COVID 19 MARECHAL DEODORO,2020-08-24,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0,1.0,0,True,True
645,Alagoas,AL,Palmeira dos Índios,2010631,HOSPITAL REGIONAL SANTA RITA E MATERNIDADE SANTA OLIMPIA,2021-01-05,21.0,139.0,8.0,5.0,6.0,5.0,6.0,5.0,2,0.0,0,True,True
1602,Alagoas,AL,Penedo,2003775,SANTA CASA DE MISERICORDIA DE PENEDO,2020-12-14,2.0,107.0,0.0,18.0,7.0,25.0,0.0,2.0,5,0.0,0,True,True
3130,Alagoas,AL,Porto Calvo,7042671,HOSPITAL REGIONAL DO NORTE,2021-01-05,0.0,50.0,0.0,50.0,10.0,4.0,2.0,4.0,2,0.0,0,True,True
3699,Alagoas,AL,Quebrangulo,2722321,UNIDADE HOSPITALAR DE QUEBRANGULO,2021-01-06,1.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0,True,True
281,Alagoas,AL,Rio Largo,2720043,HOSPITAL GERAL PROF IB GATTO FALCAO,2020-10-28,4.0,41.0,0.0,20.0,0.0,13.0,0.0,0.0,0,0.0,0,True,True
2500,Alagoas,AL,Santana do Ipanema,5616298,HOSPITAL REGIONAL DE SANTANA DO IPANEMA,2021-01-07,14.0,108.0,10.0,20.0,5.0,77.0,8.0,13.0,4,3.0,1,True,True
1989,Alagoas,AL,São Miguel dos Campos,2010151,SANTA CASA DE MISERICORDIA DE SAO MIGUEL DOS CAMPOS,2021-01-06,9.0,114.0,7.0,15.0,10.0,15.0,5.0,3.0,4,1.0,0,True,True
1269,Amazonas,AM,Atalaia do Norte,2016672,UNIDADE HOSPITALAR DE ATALAIA DO NORTE,2020-07-28,0.0,48.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0,True,True
2689,Amazonas,AM,Barcelos,0152854,HOSPITAL DE CAMPANHA COVID 19,2020-08-13,0.0,30.0,0.0,0.0,0.0,25.0,0.0,0.0,0,0.0,0,True,True
2532,Amazonas,AM,Barcelos,2015242,UNIDADE HOSPITALAR DE BARCELOS,2020-05-21,0.0,30.0,0.0,0.0,0.0,0.0,0.0,15.0,0,20.0,7,True,True
1497,Amazonas,AM,Benjamin Constant,2016974,HOSPITAL GERAL DE BENJAMIN CONSTANT DOUTOR MELVINO DE JESUS,2020-09-30,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
763,Amazonas,AM,Boca do Acre,2012499,UNIDADE HOSPITALAR DE BOCA DO ACRE,2021-01-06,0.0,61.0,0.0,15.0,5.0,15.0,6.0,0.0,0,0.0,0,True,True
2534,Amazonas,AM,Caapiranga,2016656,UNIDADE HOSPITALAR DE CAAPIRANGA,2020-06-18,0.0,21.0,0.0,0.0,0.0,7.0,0.0,0.0,0,1.0,0,True,True
602,Amazonas,AM,Canutama,2016419,UNIDADE HOSPITALAR DE CANUTAMA,2021-01-06,0.0,16.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0,True,True
1805,Amazonas,AM,Carauari,2017555,UNIDADE HOSPITALAR DE CARAUARI,2021-01-06,1.0,50.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0.0,0,True,True
2690,Amazonas,AM,Envira,2708892,UNIDADE HOSPITALAR DE ENVIRA,2020-08-13,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
16,Amazonas,AM,Guajará,2017997,UNIDADE HOSPITALAR DE GUAJARA,2020-07-15,0.0,21.0,0.0,0.0,0.0,10.0,0.0,0.2,0,0.0,0,True,True
465,Amazonas,AM,Humaitá,2017016,HOSPITAL DR LUIZA DA CONCEICAO FERNANDES,2020-12-30,1.0,46.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0,True,True
2936,Amazonas,AM,Ipixuna,2013614,UNIDADE HOSPITALAR DE IPIXUNA,2020-12-30,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
1537,Amazonas,AM,Iranduba,2012839,UNIDADE HOSPITALAR DE IRANDUBA,2020-10-27,0.0,32.0,0.0,0.0,0.0,14.0,0.0,0.0,0,0.0,0,True,True
1621,Amazonas,AM,Itacoatiara,2016923,HOSPITAL REGIONAL JOSE MENDES,2020-12-21,0.0,119.0,0.0,31.0,5.0,31.0,0.0,7.0,0,2.0,0,True,True
14,Amazonas,AM,Lábrea,2012618,UNIDADE HOSPITALAR DE LABREA,2020-05-06,0.0,59.0,0.0,6.0,5.0,8.0,0.0,0.0,0,0.0,0,True,True
449,Amazonas,AM,Manacapuru,2013258,HOSPITAL GERAL DE MANACAPURU,2021-01-01,0.0,81.0,0.0,33.0,5.0,25.0,7.0,7.0,4,4.0,1,True,True
2535,Amazonas,AM,Manaus,2018004,CHECKUP HOSPITAL LTDA,2020-05-19,0.0,30.0,6.0,0.0,0.0,22.0,11.0,14.0,11,1.0,0,True,True
15,Amazonas,AM,Manaus,2013606,FUNDACAO DE MEDICINA TROPICAL,2020-04-25,14.0,90.0,17.0,0.0,0.0,65.0,7.0,9.0,6,0.0,0,True,True
740,Amazonas,AM,Manaus,2012685,FUNDACAO HOSPITAL ADRIANO JORGE,2021-01-06,13.0,206.0,12.0,0.0,0.0,131.0,7.0,10.0,4,0.0,0,True,True
1978,Amazonas,AM,Manaus,2019566,HOSPITAL CHAPOT PREVOST,2021-01-06,4.0,32.0,0.0,3.0,0.0,6.0,0.0,13.0,0,3.0,2,True,True
1335,Amazonas,AM,Manaus,0119326,HOSPITAL DE COMBATE AO COVID 19,2020-07-14,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
1608,Amazonas,AM,Manaus,2012030,HOSPITAL E P S DA CRIANCA DA ZONA LESTE,2020-12-17,20.0,69.0,10.0,0.0,0.0,59.0,2.0,0.0,0,0.0,0,True,True
1930,Amazonas,AM,Manaus,2018071,HOSPITAL E P S DA CRIANCA DA ZONA OESTE,2021-01-05,16.0,55.0,10.0,0.0,0.0,26.0,7.0,0.0,0,0.0,0,True,True
3631,Amazonas,AM,Manaus,2012472,HOSPITAL E PRONTO SOCORRO DA CRIANCA ZONA SUL,2021-01-06,28.0,62.0,14.0,0.0,0.0,38.0,5.0,0.0,5,0.0,0,True,True
3687,Amazonas,AM,Manaus,7564546,HOSPITAL E PRONTO SOCORRO DA ZONA NORTE DELPHINA AZIZ,2021-01-06,23.0,254.0,50.0,249.0,100.0,189.0,143.0,189.0,143,22.0,14,True,True
386,Amazonas,AM,Manaus,5169976,HOSPITAL E PRONTO SOCORRO DR ARISTOTELES PLATAO B DE ARAUJO,2020-12-23,15.0,167.0,11.0,88.0,21.0,160.0,15.0,32.0,6,0.0,4,True,True
1947,Amazonas,AM,Manaus,2018101,HOSPITAL GERAL GERALDO DA ROCHA,2021-01-06,0.0,76.0,0.0,0.0,0.0,75.0,0.0,1.0,0,0.0,0,True,True
1700,Amazonas,AM,Manaus,2019574,HOSPITAL P S DR JOAO LUCIO P MACHADO,2021-01-04,36.0,189.0,28.0,51.0,14.0,162.0,27.0,25.0,0,2.0,1,True,True
515,Amazonas,AM,Manaus,2018098,HOSPITAL PORTUGUES,2021-01-04,12.0,94.0,5.0,0.0,0.0,17.0,8.0,8.0,4,0.0,0,True,True
628,Amazonas,AM,Manaus,2013649,HOSPITAL PRONTO SOCORRO 28 DE AGOSTO,2021-01-05,62.0,331.0,40.0,179.0,52.0,320.0,59.0,146.0,59,26.0,8,True,True
1919,Amazonas,AM,Manaus,2017644,HOSPITAL UNIVERSITARIO GETULIO VARGAS HUGV,2021-01-06,40.0,72.0,12.0,38.0,18.0,31.0,18.0,18.0,12,0.0,0,True,True
1841,Amazonas,AM,Manaus,6627595,INSTITUTO DA MULHER DONA LINDU,2021-01-06,17.0,138.0,0.0,0.0,0.0,46.0,0.0,8.0,0,0.0,0,True,True
2906,Amazonas,AM,Manaus,2017431,INSTITUTO DE SAUDE DA CRIANCA DO AMAZONAS ICAM,2020-12-22,20.0,108.0,22.0,0.0,0.0,43.0,17.0,13.0,0,0.0,1,True,True
2502,Amazonas,AM,Manaus,2013029,MATERNIDADE ALVORADA,2021-01-07,3.0,26.0,0.0,0.0,0.0,27.0,0.0,3.0,0,2.0,0,True,True
669,Amazonas,AM,Manaus,3004104,MATERNIDADE AZILDA DA SILVA MARREIRO,2021-01-06,8.0,64.0,0.0,0.0,0.0,33.0,5.0,0.0,0,2.0,0,True,True
400,Amazonas,AM,Manaus,2019558,MATERNIDADE BALBINA MESTRINHO,2020-12-28,43.0,74.0,7.0,4.0,1.0,47.0,2.0,3.0,0,0.0,0,True,True
3147,Amazonas,AM,Manaus,3151794,MATERNIDADE DE REFERENCIA ANA BRAGA,2021-01-05,18.0,139.0,5.0,14.0,5.0,21.0,7.0,12.0,6,8.0,0,True,True
1883,Amazonas,AM,Nhamundá,2016540,UNIDADE HOSPITALAR DE NHAMUNDA,2021-01-06,0.0,27.0,0.0,0.0,0.0,6.0,0.0,2.0,0,0.0,0,True,True
1672,Amazonas,AM,Pauini,2018381,UNIDADE HOSPITALAR DE PAUINI,2021-01-01,0.0,27.0,0.0,0.0,0.0,6.0,0.0,0.0,0,3.0,0,True,True
2530,Amazonas,AM,São Sebastião do Uatumã,2011859,UNIDADE HOSPITALAR DE SAO SEBASTIAO DO UATUMA,2020-06-25,1.0,20.0,0.0,0.0,0.0,1.0,0.0,2.0,0,2.0,0,True,True
2531,Amazonas,AM,Tapauá,2012553,UNIDADE HOSPITALAR DE TAPAUA,2020-07-28,0.0,35.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0.0,0,True,True
2904,Amazonas,AM,Tefé,2016141,HOSPITAL REGIONAL DE TEFE,2020-10-22,2.0,141.0,0.0,28.0,6.0,56.0,0.0,13.0,0,1.0,0,True,True
2533,Amazonas,AM,Uarini,2016443,UNIDADE HOSPITALAR DE UARINI,2020-07-08,0.0,27.0,0.0,0.0,0.0,1.0,0.0,2.0,0,1.0,0,True,True
2588,Amazonas,AM,Urucará,2717395,UNIDADE HOSPITALAR DE URUCARA,2020-05-02,0.0,33.0,0.0,0.0,0.0,2.0,0.0,1.0,0,0.0,1,True,True
2691,Amazonas,AM,Urucurituba,2016567,UNIDADE HOSPITALAR DE URUCURITUBA,2020-08-15,0.0,22.0,0.0,0.0,0.0,10.0,0.0,10.0,0,4.0,0,True,True
2618,Amapá,AP,Macapá,0188875,HOSPITAL DE CAMPANHA CENTRO COVID II,2020-07-02,0.0,48.0,0.0,0.0,0.0,0.0,0.0,15.0,4,2.0,1,True,True
2620,Amapá,AP,Macapá,0144975,HOSPITAL DE CAMPANHA CENTRO COVID III,2020-06-15,0.0,44.0,0.0,0.0,0.0,18.0,11.0,18.0,11,0.0,0,True,True
2896,Amapá,AP,Macapá,0176664,HOSPITAL DE CAMPANHA CENTRO COVID IV,2020-11-13,0.0,104.0,0.0,0.0,0.0,0.0,0.0,60.0,53,12.0,1,True,True
1806,Amapá,AP,Macapá,2020890,HOSPITAL SAO CAMILO E SAO LUIS,2021-01-06,15.0,175.0,4.0,0.0,0.0,80.0,27.0,51.0,24,2.0,0,True,True
2547,Bahia,BA,Abaré,2304295,HOSPITAL MUNICIPAL JONIVAL LUCAS DA SILVA,2020-07-23,0.0,24.0,0.0,0.0,0.0,22.0,0.0,4.0,0,0.0,0,True,True
231,Bahia,BA,Alagoinhas,2487438,HOSPITAL REGIONAL DANTAS BIAO,2020-09-22,15.0,106.0,10.0,12.0,12.0,8.0,12.0,3.0,8,0.0,0,True,True
2508,Bahia,BA,Alcobaça,2304848,HOSPITAL SAO BERNARDO,2021-01-07,2.0,59.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,True,True
1315,Bahia,BA,Barra do Choça,2722844,HOSPITAL MUNICIPAL DR JOSE MARIA DE MAGALHAES NETO,2020-06-03,0.0,33.0,0.0,0.0,0.0,9.0,0.0,0.0,0,0.0,0,True,True
1999,Bahia,BA,Barreiras,3972925,HOSPITAL DO OESTE,2021-01-06,70.0,259.0,17.0,12.0,30.0,166.0,75.0,3.0,20,2.0,1,True,True
374,Bahia,BA,Barreiras,2659069,HOSPITAL MUNICIPAL EURICO DUTRA,2020-12-19,0.0,58.0,0.0,10.0,0.0,66.0,0.0,35.0,0,27.0,0,True,True
348,Bahia,BA,Bom Jesus da Lapa,4022718,HOSPITAL MUNICIPAL CARMELA DUTRA,2020-12-10,1.0,71.0,0.0,8.0,0.0,41.0,0.0,7.0,0,0.0,0,True,True
2603,Bahia,BA,Bom Jesus da Serra,4022750,HOSPITAL MUNICIPAL DE BOM JESUS DA SERRA,2020-05-25,1.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1,True,True
40,Bahia,BA,Brumado,2386569,HOSPITAL MUNICIPAL PROF MAGALHAES NETO,2020-07-20,10.0,100.0,10.0,0.0,0.0,35.0,20.0,0.0,0,0.0,0,True,True
1429,Bahia,BA,Cachoeira,2386879,HOSPITAL SAO JOAO DE DEUS,2020-05-12,1.0,84.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0,True,True
52,Bahia,BA,Caetité,2557118,HOSPITAL REGIONAL E MATERNIDADE SANTANA DE CAETITE,2020-07-15,3.0,77.0,0.0,0.0,0.0,20.0,0.0,3.0,0,1.0,0,True,True
280,Bahia,BA,Camacan,9696091,FUNDACAO GONCALVES E SAMPAIO,2020-07-05,0.0,41.0,0.0,20.0,0.0,0.0,0.0,6.0,0,1.0,0,True,True
1580,Bahia,BA,Camaçari,0102652,CENTRO INTENSIVO DE COMBATE AO CORONAVIRUS CICC,2020-11-30,0.0,5.0,0.0,5.0,16.0,0.0,0.0,0.0,0,0.0,0,True,True
1588,Bahia,BA,Camaçari,0118095,CENTRO INTERMEDIARIO DE ENFRENTAMENTO AO CORONAVIRUS CIEC,2020-12-03,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
3707,Bahia,BA,Camaçari,2647036,HOSPITAL SANTA HELENA,2021-01-06,0.0,56.0,0.0,0.0,0.0,0.0,9.0,0.0,5,0.0,0,True,True
3622,Bahia,BA,Campo Formoso,2799839,HOSPITAL SAO FRANCISCO,2021-01-06,2.0,88.0,0.0,0.0,0.0,17.0,0.0,7.0,0,1.0,0,True,True
1324,Bahia,BA,Carinhanha,4024303,HOSPITAL MUNICIPAL DE CARINHANHA,2020-06-04,1.0,30.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0,0,True,True
59,Bahia,BA,Chorrochó,2601907,HOSPITAL MUNICIPAL GERAL MONICA SILVANY GOMES RAMOS DOS SANT,2020-04-16,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
69,Bahia,BA,Cipó,2799812,HOSPITAL MUNICIPAL DE CIPO,2020-06-11,0.0,30.0,0.0,0.0,0.0,25.0,0.0,2.0,0,0.0,0,True,True
1560,Bahia,BA,Conceição do Almeida,2389592,HOSPITAL MUNICIPAL DE CONCEICAO DO ALMEIDA,2020-11-10,1.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,True,True
713,Bahia,BA,Conceição do Jacuípe,2600609,HOSPITAL MUNICIPAL DR ANTONIO CARLOS MAGALHAES,2021-01-06,2.0,38.0,0.0,0.0,0.0,9.0,0.0,1.0,0,1.0,0,True,True
234,Bahia,BA,Cruz das Almas,2390043,HOSPITAL NOSSA SENHORA DO BONSUCESSO,2020-09-24,1.0,72.0,0.0,0.0,0.0,16.0,0.0,0.0,0,0.0,0,True,True
3715,Bahia,BA,Dias d'Ávila,2532549,HOSPITAL MUNICIPAL DILTON BISPO DE SANTANA,2021-01-05,2.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1,True,True
2604,Bahia,BA,Encruzilhada,4025148,HOSPITAL MUNICIPAL MILTON ROCHA SOUZA,2020-08-01,0.0,50.0,0.0,0.0,0.0,2.0,0.0,0.0,0,2.0,0,True,True
1540,Bahia,BA,Eunápolis,2556510,HOSPITAL DAS CLINICAS DE EUNAPOLIS,2020-10-28,5.0,29.0,0.0,20.0,20.0,2.0,8.0,2.0,8,0.0,0,True,True
623,Bahia,BA,Feira de Santana,0180505,HOSPITAL DE FEIRA DE SANTANA,2021-01-05,0.0,50.0,0.0,0.0,0.0,35.0,18.0,13.0,15,2.0,2,True,True
2577,Bahia,BA,Feira de Santana,2601680,HOSPITAL DOM PEDRO DE ALCANTARA,2020-05-08,11.0,128.0,12.0,0.0,0.0,147.0,12.0,0.0,0,0.0,0,True,True
2420,Bahia,BA,Feira de Santana,6602533,HOSPITAL ESTADUAL DA CRIANCA,2021-01-06,79.0,166.0,30.0,20.0,15.0,141.0,38.0,13.0,3,0.0,0,True,True
756,Bahia,BA,Feira de Santana,2799758,HOSPITAL GERAL CLERISTON ANDRADE,2021-01-06,39.0,234.0,26.0,14.0,30.0,26.0,28.0,11.0,23,0.0,2,True,True
2559,Bahia,BA,Filadélfia,2401665,UNIDADE HOSPITALAR SAO SEBASTIAO,2020-06-24,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2596,Bahia,BA,Guanambi,2816881,HOSPITAL MUNICIPAL DE GUANAMBI,2020-06-04,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
3072,Bahia,BA,Guanambi,2804034,HOSPITAL REGIONAL DE GUANAMBI,2021-01-06,26.0,112.0,10.0,8.0,0.0,44.0,9.0,2.0,1,0.0,0,True,True
1894,Bahia,BA,Ibitiara,2412713,HOSPITAL PADRE ALDO COPPOLA,2021-01-06,1.0,62.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0.0,0,True,True
1510,Bahia,BA,Ilhéus,0131709,HOSPITAL DE CAMPANHA COVID 19,2020-10-07,0.0,20.0,4.0,0.0,0.0,3.0,1.0,0.0,1,8.0,0,True,True
364,Bahia,BA,Ilhéus,3906787,HOSPITAL DE ILHEUS,2020-12-05,14.0,70.0,2.0,11.0,11.0,11.0,11.0,3.0,10,0.0,0,True,True
2983,Bahia,BA,Ilhéus,9388133,HOSPITAL REGIONAL COSTA DO CACAU,2021-01-04,24.0,154.0,30.0,18.0,29.0,98.0,19.0,17.0,27,1.0,0,True,True
1838,Bahia,BA,Ilhéus,2802112,HOSPITAL SAO JOSE MATERNIDADE SANTA HELENA,2021-01-06,13.0,237.0,6.0,5.0,5.0,14.0,3.0,3.0,3,0.0,0,True,True
1798,Bahia,BA,Ilhéus,7518846,VIDA MEMORIAL,2021-01-06,1.0,42.0,0.0,20.0,10.0,3.0,9.0,3.0,9,2.0,0,True,True
717,Bahia,BA,Irecê,4026896,HOSPITAL REGIONAL DR MARIO DOURADO SOBRINHO,2021-01-05,36.0,95.0,10.0,5.0,10.0,79.0,27.0,0.0,7,1.0,0,True,True
1614,Bahia,BA,Itaberaba,3245500,HOSPITAL DA CHAPADA,2020-12-21,0.0,23.0,0.0,20.0,20.0,6.0,18.0,6.0,18,3.0,0,True,True
1794,Bahia,BA,Itabuna,2772280,HOSPITAL CALIXTO MIDLEJ FILHO,2021-01-06,8.0,144.0,23.0,30.0,10.0,40.0,8.0,7.0,4,0.0,0,True,True
1822,Bahia,BA,Itabuna,2385171,HOSPITAL DE BASE LUIS EDUARDO MAGALHAES,2021-01-06,13.0,190.0,9.0,19.0,14.0,38.0,19.0,8.0,11,0.0,0,True,True
518,Bahia,BA,Itabuna,2525569,HOSPITAL MANOEL NOVAES,2020-12-31,17.0,124.0,7.0,10.0,3.0,55.0,19.0,2.0,3,1.0,0,True,True
2562,Bahia,BA,Itambé,2414465,HOSPITAL REGIONAL SAO SEBASTIAO,2020-06-03,1.0,50.0,0.0,0.0,0.0,15.0,0.0,0.0,0,0.0,0,True,True
701,Bahia,BA,Itaparica,2602083,HOSPITAL GERAL DE ITAPARICA,2021-01-06,2.0,52.0,0.0,0.0,0.0,19.0,0.0,0.0,0,0.0,0,True,True
43,Bahia,BA,Itarantim,2417456,HOSPITAL REGIONAL DE ITARANTIM,2020-05-11,0.0,30.0,0.0,0.0,0.0,3.0,0.0,1.0,0,0.0,1,True,True
1731,Bahia,BA,Itatim,2444704,HOSPITAL MATERNIDADE MARIA EUNICE DULTRA SOARES,2021-01-04,0.0,30.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0,True,True
1294,Bahia,BA,Ituaçu,2445247,HOSPITAL MUNICIPAL DE ITUACU,2020-05-28,0.0,28.0,0.0,0.0,0.0,6.0,0.0,1.0,0,0.0,0,True,True
82,Bahia,BA,Iuiú,6670385,HOSPITAL MUNICIPAL EDVALDO PEREIRA MAGALHAES,2020-06-04,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,True,True
681,Bahia,BA,Jacaraci,2466694,HOSPITAL MUNICIPAL NOSSA SENHORA DA CONCEICAO,2021-01-05,1.0,29.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0.0,0,True,True
3714,Bahia,BA,Jacobina,2470748,HOSPITAL REGIONAL VICENTINA GOULART,2020-12-22,0.0,62.0,0.0,50.0,0.0,0.0,0.0,13.0,7,0.0,0,True,True
3119,Bahia,BA,Jequié,2400693,HOSPITAL GERAL PRADO VALADARES,2021-01-06,15.0,210.0,29.0,19.0,29.0,61.0,13.0,8.0,18,1.0,2,True,True
3654,Bahia,BA,Jequié,2494930,HOSPITAL SAO VICENTE,2021-01-06,3.0,83.0,0.0,40.0,10.0,7.0,10.0,7.0,10,4.0,0,True,True
2800,Bahia,BA,Jequié,6923356,SANTA CASA DE MISERICORDIA SAO JUDAS TADEU,2020-10-26,0.0,56.0,0.0,0.0,0.0,49.0,11.0,1.0,0,0.0,0,True,True
3121,Bahia,BA,Jiquiriçá,2483408,HOSPITAL E MATERNIDADE JULIA MAIA,2021-01-06,1.0,23.0,0.0,0.0,0.0,4.0,0.0,1.0,0,0.0,0,True,True
1927,Bahia,BA,Juazeiro,4028155,HOSPITAL REGIONAL DE JUAZEIRO,2021-01-06,26.0,131.0,20.0,25.0,10.0,103.0,26.0,10.0,13,1.0,1,True,True
1968,Bahia,BA,Juazeiro,2557509,PROMATRE DE JUAZEIRO,2021-01-06,6.0,87.0,11.0,20.0,10.0,28.0,17.0,0.0,7,0.0,0,True,True
2567,Bahia,BA,Jussiape,2483300,CASA DE SAUDE ANA MEDRADO LUZ,2020-05-17,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
